,date,close,high,low,open,volume
2790,2011-02-04,258.70001220703125,260.17999267578125,254.3300018310547,254.7100067138672,328700
2791,2011-02-07,258.0299987792969,261.5899963378906,257.3500061035156,259.0,271400
2792,2011-02-08,259.8299865722656,259.989990234375,257.7799987792969,258.0299987792969,218600
2793,2011-02-09,261.760009765625,263.6199951171875,259.1000061035156,259.5,285000
2794,2011-02-10,259.6400146484375,261.5,256.1499938964844,260.8299865722656,361100
2795,2011-02-11,260.8800048828125,261.7200012207031,258.6400146484375,259.1400146484375,200800
2796,2011-02-14,260.82000732421875,261.760009765625,259.70001220703125,261.1600036621094,227300
2797,2011-02-15,260.80999755859375,260.9800109863281,259.3299865722656,260.5199890136719,287100
2798,2011-02-16,262.7799987792969,265.5400085449219,261.5799865722656,262.0,213500
2799,2011-02-17,255.57000732421875,262.2200012207031,254.7100067138672,262.2200012207031,418400
2800,2011-02-18,255.63999938964844,259.0400085449219,253.7100067138672,256.4800109863281,338500
2801,2011-02-22,252.58999633789062,254.5800018310547,249.10000610351562,253.1300048828125,383600
2802,2011-02-23,250.63999938964844,254.5800018310547,247.36000061035156,252.52999877929688,398600
2803,2011-02-24,253.25,254.1999969482422,249.0500030517578,252.08999633789062,289300
2804,2011-02-25,255.38999938964844,255.75,252.5399932861328,254.91000366210938,277400
2805,2011-02-28,257.95001220703125,260.0,255.4499969482422,255.50999450683594,524800
2806,2011-03-01,263.5199890136719,267.9800109863281,260.2099914550781,265.5400085449219,1016900
2807,2011-03-02,262.8399963378906,264.5400085449219,260.67999267578125,263.739990234375,564700
2808,2011-03-03,266.5299987792969,266.95001220703125,263.010009765625,264.4599914550781,483400
2809,2011-03-04,265.4200134277344,268.75,263.2900085449219,266.5299987792969,261800
2810,2011-03-07,263.25,267.4599914550781,262.95001220703125,265.75,357600
2811,2011-03-08,267.9599914550781,269.79998779296875,262.9800109863281,263.6600036621094,403800
2812,2011-03-09,268.2099914550781,269.6300048828125,266.8500061035156,268.0199890136719,272900
2813,2011-03-10,266.7099914550781,268.79998779296875,265.0,266.760009765625,290900
2814,2011-03-11,265.92999267578125,267.3699951171875,263.1199951171875,266.6000061035156,270500
2815,2011-03-14,264.80999755859375,265.30999755859375,261.8900146484375,263.8900146484375,236400
2816,2011-03-15,263.1400146484375,264.4700012207031,256.8599853515625,259.5,345300
2817,2011-03-16,261.30999755859375,265.7099914550781,260.6199951171875,261.239990234375,395800
2818,2011-03-17,261.95001220703125,264.9200134277344,261.57000732421875,264.1700134277344,225100
2819,2011-03-18,262.9800109863281,264.7099914550781,260.07000732421875,263.6300048828125,500000
2820,2011-03-21,264.0899963378906,266.17999267578125,262.3800048828125,264.3299865722656,423400
2821,2011-03-22,264.7200012207031,265.7900085449219,261.75,264.45001220703125,376400
2822,2011-03-23,270.05999755859375,271.0,262.79998779296875,264.8500061035156,458300
2823,2011-03-24,272.1099853515625,273.260009765625,269.44000244140625,271.0,399200
2824,2011-03-25,275.489990234375,277.5,270.7099914550781,272.75,435200
2825,2011-03-28,270.92999267578125,276.1600036621094,270.82000732421875,276.1600036621094,307900
2826,2011-03-29,273.44000244140625,273.4700012207031,268.79998779296875,271.1199951171875,314300
2827,2011-03-30,273.94000244140625,276.0400085449219,273.0,274.25,271900
2828,2011-03-31,273.55999755859375,273.8699951171875,270.79998779296875,273.19000244140625,359800
2829,2011-04-01,274.6700134277344,276.04998779296875,273.2699890136719,274.2200012207031,261400
2830,2011-04-04,274.2799987792969,275.760009765625,272.5400085449219,275.0,213100
2831,2011-04-05,276.6400146484375,279.94000244140625,273.0899963378906,273.6400146484375,327300
2832,2011-04-06,276.5899963378906,279.3500061035156,276.510009765625,276.8500061035156,219800
2833,2011-04-07,275.8399963378906,277.8299865722656,272.9800109863281,276.55999755859375,256600
2834,2011-04-08,276.260009765625,277.6000061035156,274.510009765625,277.6000061035156,238800
2835,2011-04-11,272.92999267578125,273.989990234375,269.67999267578125,272.6099853515625,384600
2836,2011-04-12,277.7699890136719,279.0,270.0,272.1499938964844,661500
2837,2011-04-13,279.760009765625,279.989990234375,276.2200012207031,276.2200012207031,419700
2838,2011-04-14,278.8500061035156,280.739990234375,277.2699890136719,278.75,455400
2839,2011-04-15,280.0799865722656,281.9599914550781,278.7200012207031,279.760009765625,370300
2840,2011-04-18,279.32000732421875,280.2799987792969,274.7699890136719,280.2799987792969,244200
2841,2011-04-19,278.2799987792969,279.0899963378906,276.07000732421875,279.0799865722656,250500
2842,2011-04-20,283.9599914550781,284.6000061035156,280.45001220703125,280.5799865722656,376900
2843,2011-04-21,284.8500061035156,284.9700012207031,282.69000244140625,284.0,310300
2844,2011-04-25,282.5,284.94000244140625,281.1600036621094,284.7099914550781,145500
2845,2011-04-26,282.07000732421875,283.8299865722656,281.7200012207031,283.05999755859375,306300
2846,2011-04-27,281.5,283.9200134277344,281.0,283.7300109863281,619900
2847,2011-04-28,282.4800109863281,284.4200134277344,279.67999267578125,280.0199890136719,298600
2848,2011-04-29,282.3800048828125,283.260009765625,281.0899963378906,282.2699890136719,251000
2849,2011-05-02,281.17999267578125,284.57000732421875,280.5,283.20001220703125,206000
2850,2011-05-03,283.44000244140625,285.0,282.3900146484375,284.79998779296875,414000
2851,2011-05-04,283.3500061035156,284.489990234375,282.17999267578125,283.70001220703125,280000
2852,2011-05-05,285.2799987792969,287.0,281.0400085449219,282.0,294100
2853,2011-05-06,281.55999755859375,286.989990234375,281.1300048828125,286.82000732421875,269000
2854,2011-05-09,284.6400146484375,285.8299865722656,281.1700134277344,281.1700134277344,253000
2855,2011-05-10,286.4100036621094,287.0,285.0400085449219,285.0400085449219,248400
2856,2011-05-11,286.3800048828125,288.4200134277344,279.3500061035156,288.4200134277344,454000
2857,2011-05-12,287.8900146484375,288.5,284.0199890136719,286.17999267578125,360000
2858,2011-05-13,286.29998779296875,288.5,284.260009765625,287.8900146484375,239400
2859,2011-05-16,283.6499938964844,287.5199890136719,283.3500061035156,286.239990234375,238100
2860,2011-05-17,281.4800109863281,283.0899963378906,279.260009765625,282.8800048828125,239000
2861,2011-05-18,282.5,283.6700134277344,280.4200134277344,281.9700012207031,259600
2862,2011-05-19,277.1499938964844,279.0,274.3299865722656,277.010009765625,770000
2863,2011-05-20,276.6000061035156,278.2099914550781,274.55999755859375,276.69000244140625,462100
2864,2011-05-23,276.7799987792969,277.6099853515625,273.17999267578125,276.2900085449219,473300
2865,2011-05-24,293.29998779296875,295.1700134277344,286.79998779296875,288.07000732421875,1154000
2866,2011-05-25,297.9800109863281,298.0,293.0,294.44000244140625,607200
2867,2011-05-26,296.6099853515625,298.4700012207031,296.0,297.9800109863281,540000
2868,2011-05-27,296.7099914550781,297.80999755859375,294.8399963378906,295.2699890136719,293900
2869,2011-05-31,294.0,299.6000061035156,293.1199951171875,298.8599853515625,486200
2870,2011-06-01,293.1099853515625,295.17999267578125,293.0299987792969,294.0,378800
2871,2011-06-02,289.6499938964844,294.1199951171875,289.0,294.1199951171875,287000
2872,2011-06-03,285.4800109863281,290.5,284.8299865722656,287.29998779296875,325900
2873,2011-06-06,285.6400146484375,287.2200012207031,283.94000244140625,286.6300048828125,316800
2874,2011-06-07,284.5,289.3900146484375,284.1199951171875,285.0,338700
2875,2011-06-08,288.5299987792969,289.489990234375,283.25,284.80999755859375,485300
2876,2011-06-09,291.94000244140625,292.5400085449219,286.9800109863281,288.3699951171875,305100
2877,2011-06-10,290.20001220703125,292.2300109863281,288.7099914550781,290.70001220703125,395700
2878,2011-06-13,288.8800048828125,291.29998779296875,288.239990234375,291.29998779296875,313500
2879,2011-06-14,289.8699951171875,290.5899963378906,289.1600036621094,290.2300109863281,345300
2880,2011-06-15,289.54998779296875,290.5199890136719,288.45001220703125,289.07000732421875,366600
2881,2011-06-16,289.7799987792969,290.1499938964844,285.2099914550781,288.82000732421875,447100
2882,2011-06-17,291.7099914550781,293.04998779296875,290.3599853515625,291.0,804500
2883,2011-06-20,292.239990234375,293.1499938964844,290.0299987792969,291.30999755859375,496000
2884,2011-06-21,292.42999267578125,292.9100036621094,291.42999267578125,292.3999938964844,444600
2885,2011-06-22,292.8699951171875,294.0799865722656,292.1700134277344,292.1700134277344,387300
2886,2011-06-23,292.6099853515625,294.2699890136719,290.7200012207031,290.7200012207031,476500
2887,2011-06-24,291.6000061035156,293.70001220703125,290.3299865722656,292.54998779296875,336900
2888,2011-06-27,292.8399963378906,293.9700012207031,290.0,290.989990234375,267300
2889,2011-06-28,292.8999938964844,293.5199890136719,292.5799865722656,293.5,437000
2890,2011-06-29,291.32000732421875,293.5400085449219,290.6199951171875,293.4200134277344,342700
2891,2011-06-30,294.8500061035156,296.20001220703125,291.8699951171875,292.54998779296875,381100
2892,2011-07-01,297.6199951171875,298.19000244140625,294.8599853515625,295.3800048828125,255800
2893,2011-07-05,297.1400146484375,298.5299987792969,294.510009765625,296.1400146484375,289700
2894,2011-07-06,297.75,298.79998779296875,294.760009765625,295.2900085449219,333300
2895,2011-07-07,298.3800048828125,299.45001220703125,298.0,299.0,330800
2896,2011-07-08,298.2799987792969,298.55999755859375,295.1499938964844,295.80999755859375,305700
2897,2011-07-11,295.5,297.6400146484375,293.8399963378906,295.94000244140625,277500
2898,2011-07-12,297.5899963378906,299.6000061035156,293.1000061035156,293.2099914550781,392400
2899,2011-07-13,296.94000244140625,300.3999938964844,296.0199890136719,298.4800109863281,312900
2900,2011-07-14,297.8800048828125,302.0,295.260009765625,298.3699951171875,416500
2901,2011-07-15,297.2799987792969,298.6600036621094,294.0799865722656,298.6600036621094,292100
2902,2011-07-18,295.3599853515625,297.0799865722656,294.4700012207031,297.0799865722656,177100
2903,2011-07-19,298.3299865722656,299.2099914550781,296.1600036621094,296.7099914550781,268300
2904,2011-07-20,295.5899963378906,298.6199951171875,294.7799987792969,298.3299865722656,180800
2905,2011-07-21,295.5199890136719,297.2200012207031,294.7699890136719,296.3599853515625,293600
2906,2011-07-22,295.8500061035156,296.6099853515625,295.1199951171875,296.44000244140625,172500
2907,2011-07-25,294.94000244140625,296.3699951171875,293.2200012207031,294.2699890136719,228400
2908,2011-07-26,295.1600036621094,296.29998779296875,293.6000061035156,294.82000732421875,150700
2909,2011-07-27,289.1499938964844,293.3299865722656,287.0,293.25,399300
2910,2011-07-28,285.8399963378906,288.54998779296875,284.5,287.9599914550781,255900
2911,2011-07-29,285.45001220703125,288.0899963378906,282.5,284.4599914550781,287500
2912,2011-08-01,282.25,287.3599853515625,280.1199951171875,287.0,349100
2913,2011-08-02,276.7099914550781,284.3299865722656,276.1499938964844,280.8500061035156,337600
2914,2011-08-03,281.5,281.8599853515625,274.3999938964844,276.2900085449219,368500
2915,2011-08-04,273.2900085449219,281.4599914550781,273.0899963378906,279.5899963378906,390700
2916,2011-08-05,278.739990234375,280.6700134277344,270.239990234375,275.260009765625,663200
2917,2011-08-08,268.510009765625,278.6199951171875,266.25,275.1000061035156,663100
2918,2011-08-09,280.1000061035156,280.44000244140625,269.1700134277344,269.5400085449219,686600
2919,2011-08-10,274.82000732421875,281.8999938964844,274.3999938964844,277.8599853515625,716900
2920,2011-08-11,281.8900146484375,284.0400085449219,278.0,278.0,737400
2921,2011-08-12,287.6099853515625,288.94000244140625,283.04998779296875,286.3500061035156,625400
2922,2011-08-15,287.3999938964844,289.2099914550781,282.75,289.2099914550781,294000
2923,2011-08-16,288.2699890136719,289.6600036621094,284.1099853515625,285.54998779296875,252700
2924,2011-08-17,288.4800109863281,290.4800109863281,284.9800109863281,289.6600036621094,205100
2925,2011-08-18,289.1600036621094,289.19000244140625,279.92999267578125,284.3399963378906,621200
2926,2011-08-19,291.4200134277344,294.0,285.95001220703125,285.95001220703125,572500
